1	neutral
2	smile
3	laugh
4	burst-laugh
5	smug
6	sad
7	tears
8	tears2
9	mock
10	taunt
11	happy-tears
12	surprised
13	curious
14	curious2
15	flustered
16	contempt
17	contempt2
18	sulk
19	annoyed
20	annoyed2
21	sullen
22	nervous
23	nervous2
24	sigh
25	sigh2
26	angry
27	bashful-soft
28	bashful
29	bashful-big
30	agree
31	refuse
32	panic
33	aroused-soft
34	aroused
35	aroused-big
36	kiss-soft
37	kiss
38	kiss-hard
39	pat-happy
40	pat-shy
41	pat-aroused
42	hug-happy
43	hug-shy
44	hug-aroused
45	hold-hands
46	hand-kiss
47	hand-lick
48	hand-bite
49	cheek-pull-happy
50	cheek-pull-annoyed
51	cheek-pull-shy
52	cheek-caress-happy
53	cheek-caress-shy
54	cheek-caress-aroused
55	chin-tickle-happy
56	chin-tickle-shy
57	chin-tickle-aroused
58	lean-shy
59	lean-happy
60	lean-aroused
61	undress
62	spread-seduce
63	push-down
64	pushed-down
65	hickey
66	hickey2
67	pre-sex
68	lecture
69	lecture-prank
70	day-walk
71	rooftop
72	sink
73	commute
74	classroom-alone
75	cat-pat
76	field-rest
77	street-snack
78	school-sex-seduce
79	school-sex
80	school-fellatio
81	bed-lying
82	dozing
83	sleeping
84	waking
85	cooking
86	gift
87	meal
88	snack
89	memo
90	sofa-lounge
91	drinking
92	drunk
93	bath
94	bath2
95	bath-seduce
96	bath-sex
97	confession
98	finger-heart
99	going-out-prep
100	aquarium
101	amusement-park
102	karaoke
103	riverside-walk
104	cinema
105	cafe
106	bar
107	outdoor-sex-seduce
108	outdoor-sex
109	outdoor-fellatio
110	hotspring-date
111	hotspring-seduce
112	hotspring-sex
113	hotspring-fellatio
114	beach-swimsuit
115	beach-sunbed
116	beach-icecream
117	beach-swim
118	beach-walk
119	beach-fireworks
120	beach-seduce
121	beach-sex
122	beach-fellatio
123	pregtest-check
124	pregtest-show
125	pregnant
126	parenting
127	wedding
128	missionary-soft
129	missionary-hard
130	missionary-cum
131	missionary-after
132	doggy-soft
133	doggy-hard
134	doggy-cum
135	doggy-after
136	cowgirl-soft
137	cowgirl-hard
138	cowgirl-cum
139	cowgirl-after
140	fellatio-clothed-smell
141	fellatio-smell
142	fellatio-shaft-kiss
143	fellatio-glans-kiss
144	fellatio-soft
145	fellatio-mid
146	fellatio-hard
147	fellatio-cum
148	mouth-cum
149	cum-swallow
150	mouth-after
151	breast-handjob-soft
152	breast-handjob-hard
153	breast-handjob-cum
154	breast-handjob-after
155	lick-cum-hand
156	mating-press-soft
157	mating-press-hard
158	mating-press-cum
159	mating-press-after
160	sixtynine-soft
161	sixtynine-hard
162	sixtynine-cum
163	sixtynine-after
164	fingering-soft
165	fingering-hard
166	fingering-cum
167	fingering-after
168	choke-sex-soft
169	choke-sex-hard
170	choke-sex-cum
171	choke-sex-after
172	footjob-soft
173	footjob-hard
174	footjob-cum
175	footjob-after
176	anal-soft
177	anal-hard
178	anal-cum
179	anal-after
180	full-nelson-soft
181	full-nelson-hard
182	full-nelson-cum
183	full-nelson-after
184	paizuri-soft
185	paizuri-hard
186	paizuri-cum
187	paizuri-after
188	spooning-soft
189	spooning-hard
190	spooning-cum
191	spooning-after
192	facesitting
193	glans-hand
194	ear-lick-by-her
195	rimjob
196	rimjob-cum
197	ear-whisper
198	ear-lick
199	amazon
200	amazon-cum
