1	neutral	무표정	감정
2	question	의문	감정
3	nervous	긴장	감정
4	surprised	놀람	감정
5	worried	걱정	감정
6	tired	피곤	감정
7	smile	미소	감정
8	happy	행복	감정
9	fluttered	설렘	감정
10	shy	부끄러움	감정
11	sulk	삐짐	감정
12	annoyed	짜증	감정
13	angry	분노	감정
14	sad	슬픔	감정
15	tears	눈물	감정
16	gloomy	시무룩	감정
17	contempt	경멸	감정
18	fear	공포	감정
19	ecstasy	황홀	감정
20	love	사랑	감정
21	confident	자신감	감정
22	undress-kiss	탈의키스	성
23	missionary	정상위	성
24	missionary-cum	정상위사정	성
25	doggy	후배위	성
26	doggy-cum	후배위사정	성
27	cowgirl	기승위	성
28	cowgirl-cum	기승위사정	성
29	reverse-cowgirl	역기승위	성
30	reverse-cowgirl-cum	역기승위사정	성
31	spooning	측위	성
32	spooning-cum	측위사정	성
33	suspended	들박	성
34	suspended-cum	들박사정	성
35	lotus	대면좌위	성
36	lotus-cum	대면좌위사정	성
37	mating-press	교배프레스	성
38	mating-press-cum	교배프레스사정	성
39	amazon	아마존프레스	성
40	amazon-cum	아마존프레스사정	성
41	anal	애널	성
42	anal-cum	애널사정	성
43	preg-sex	임신섹스	성
44	preg-sex-cum	임신섹스사정	성
45	rimjob	림잡	성
46	rimjob-cum	림잡사정	성
47	footjob	풋잡	성
48	footjob-cum	풋잡사정	성
49	handjob	핸드잡	성
50	handjob-cum	핸드잡사정	성
51	milk-handjob	수유대딸	성
52	milk-handjob-cum	수유대딸사정	성
53	paizuri	파이즈리	성
54	paizuri-cum	파이즈리사정	성
55	fellatio	펠라	성
56	fellatio-cum	펠라사정	성
57	deepthroat	딥스롯	성
58	cunnilingus	커닐링구스	성
59	fingering	핑거링	성
60	facesitting	페이스시팅	성
61	breast-suck	가슴빨기	성
62	self-breast	자기가슴만지기	성
63	breast-touched	가슴만짐당하기	성
64	shower-sex	샤워섹스	성
65	masturbate	자위	성
66	spread-pussy	보지벌리기	성
67	spread-cum-pussy	정액보지벌리기	성
68	pillow-talk	필로우토크	성
101	selfie	셀카	활동
102	wink	윙크	활동
103	finger-heart	손하트	활동
104	phone	핸드폰보기	활동
105	cooking	요리	활동
106	eating	음식먹기	활동
107	drink	음료수마시기	활동
108	drinking-alcohol	술마시기	활동
109	holding-hands	손잡기	활동
110	arm-in-arm	팔짱	활동
111	head-pat	머리쓰담	활동
112	cheek-touch	볼만지기	활동
113	puffed-cheeks	볼부풀림	활동
114	backhug	백허그	활동
115	hug	포옹	활동
116	forehead-kiss	이마키스	활동
117	clothed-kiss	착의키스	활동
118	seduce	유혹	활동
119	show-panties	팬티보여주기	활동
120	topless	상의탈의	활동
121	bottomless	하의탈의	활동
122	sleeping	잠자기	활동
123	wedding	결혼	활동
124	pregnant	임신	활동
125	parenting	육아	활동
126	cinema	영화관	활동
127	amusement-park	놀이공원	활동
128	aquarium	아쿠아리움	활동
129	library	도서관	활동
130	art-gallery	미술관	활동
131	hotspring	온천	활동
132	cafe	카페	활동
133	beach	해변	활동
134	stargazing	별자리관측	활동
135	flower-shop	꽃집	활동
136	night-market	야시장	활동
137	pc-room	PC방	활동
138	park	공원	활동
139	karaoke	노래방	활동
